User	KeyDownTimeStamp	KeyReleaseTimeStamp	SessionID
user1	1270927177311	1270927177391	928ebfe1abd4e77ff013f936aa60
user1	1270927177878	1270927177998	928ebfe1abd4e77ff013f936aa60
user1	1270927196141	1270927196216	928ebfe1abd4e77ff013f936aa60
user1	1270927196233	1270927196358	928ebfe1abd4e77ff013f936aa60
user1	1270927196346	1270927196416	928ebfe1abd4e77ff013f936aa60
user1	1270927196449	1270927196592	928ebfe1abd4e77ff013f936aa60
user1	1270927196514	1270927196601	928ebfe1abd4e77ff013f936aa60
user1	1270927196730	1270927196863	928ebfe1abd4e77ff013f936aa60
user1	1270927197026	1270927197159	928ebfe1abd4e77ff013f936aa60
user1	1270927197769	1270927197847	928ebfe1abd4e77ff013f936aa60
user1	1270927197950	1270927198078	928ebfe1abd4e77ff013f936aa60
user1	1270927198016	1270927198090	928ebfe1abd4e77ff013f936aa60
user1	1270927564914	1270927565102	928ebfe1abd4e77ff013f936aa60
user1	1270927565178	1270927565396	928ebfe1abd4e77ff013f936aa60
user1	1270927565699	1270927565794	928ebfe1abd4e77ff013f936aa60
user1	1270927565873	1270927565952	928ebfe1abd4e77ff013f936aa60
user1	1270927569336	1270927569387	928ebfe1abd4e77ff013f936aa60
user1	1270927570741	1270927570948	928ebfe1abd4e77ff013f936aa60
user1	1270927570879	1270927570984	928ebfe1abd4e77ff013f936aa60
user1	1270927571036	1270927571148	928ebfe1abd4e77ff013f936aa60
user1	1270927571428	1270927571477	928ebfe1abd4e77ff013f936aa60
user1	1270927571557	1270927571606	928ebfe1abd4e77ff013f936aa60
user1	1270927571680	1270927571823	928ebfe1abd4e77ff013f936aa60
user1	1270927572026	1270927572102	928ebfe1abd4e77ff013f936aa60
user1	1270927572171	1270927572250	928ebfe1abd4e77ff013f936aa60
user1	1270927572342	1270927572489	928ebfe1abd4e77ff013f936aa60
user1	1270927572553	1270927572674	928ebfe1abd4e77ff013f936aa60
user1	1270927572706	1270927572814	928ebfe1abd4e77ff013f936aa60
user1	1270927572848	1270927572912	928ebfe1abd4e77ff013f936aa60
user1	1270927573055	1270927573147	928ebfe1abd4e77ff013f936aa60
user1	1270927573130	1270927573320	928ebfe1abd4e77ff013f936aa60
user1	1270927573335	1270927573466	928ebfe1abd4e77ff013f936aa60
user1	1270927573530	1270927573623	928ebfe1abd4e77ff013f936aa60
user1	1270927574360	1270927574416	928ebfe1abd4e77ff013f936aa60
user1	1270927574455	1270927574532	928ebfe1abd4e77ff013f936aa60
user1	1270927574621	1270927574743	928ebfe1abd4e77ff013f936aa60
user1	1270927574785	1270927574847	928ebfe1abd4e77ff013f936aa60
user1	1270927574917	1270927575005	928ebfe1abd4e77ff013f936aa60
user1	1270927575024	1270927575139	928ebfe1abd4e77ff013f936aa60
user1	1270927575260	1270927575373	928ebfe1abd4e77ff013f936aa60
user1	1270927575404	1270927575549	928ebfe1abd4e77ff013f936aa60
user1	1270927575993	1270927576201	928ebfe1abd4e77ff013f936aa60
user1	1270927576140	1270927576235	928ebfe1abd4e77ff013f936aa60
user1	1270927576370	1270927576474	928ebfe1abd4e77ff013f936aa60
user1	1270927576924	1270927576968	928ebfe1abd4e77ff013f936aa60
user1	1270927577099	1270927577163	928ebfe1abd4e77ff013f936aa60
user1	1270927577322	1270927577371	928ebfe1abd4e77ff013f936aa60
user1	1270927577512	1270927577639	928ebfe1abd4e77ff013f936aa60
user1	1270927577717	1270927577773	928ebfe1abd4e77ff013f936aa60
