User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user18	998	78	1271993396852	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	995	85	1271993396859	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	990	100	1271993396867	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	986	124	1271993396875	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	982	140	1271993396883	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	982	153	1271993396891	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	982	163	1271993396899	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	983	175	1271993396907	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	984	182	1271993396915	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	983	187	1271993396923	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	983	188	1271993396931	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	982	193	1271993396939	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	980	193	1271993396947	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	980	196	1271993396955	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	979	196	1271993396963	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	978	197	1271993396971	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	977	197	1271993397003	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	977	199	1271993397107	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	976	199	1271993397115	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	976	201	1271993397123	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	975	202	1271993397275	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	975	204	1271993397291	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	974	207	1271993397299	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	972	212	1271993397307	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	971	216	1271993397315	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	970	222	1271993397323	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	967	234	1271993397332	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	964	246	1271993397340	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	960	258	1271993397348	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	957	272	1271993397356	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	951	283	1271993397363	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	947	294	1271993397372	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	944	304	1271993397381	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	941	312	1271993397388	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	941	316	1271993397395	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	939	326	1271993397404	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	939	329	1271993397412	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	938	333	1271993397420	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	937	337	1271993397427	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	936	340	1271993397435	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	936	342	1271993397443	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	935	344	1271993397451	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	934	346	1271993397468	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	934	347	1271993397619	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	934	348	1271993397628	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	933	351	1271993397635	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	933	353	1271993397644	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	931	356	1271993397651	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	930	358	1271993397659	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	930	359	1271993397667	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	930	361	1271993397675	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	930	363	1271993397683	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	928	363	1271993397795	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	928	363	1271993397964	1271993397836	1271993397964	8b6c81b78bebe0168da2ad8c01c0
user18	928	364	1271993398483	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	925	368	1271993398491	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	920	378	1271993398500	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	915	388	1271993398507	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	904	408	1271993398516	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	894	423	1271993398524	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	887	435	1271993398532	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	876	450	1271993398539	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	869	461	1271993398547	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	863	467	1271993398555	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	852	478	1271993398564	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	840	487	1271993398572	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	828	498	1271993398579	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	805	514	1271993398587	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	787	524	1271993398595	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	768	537	1271993398604	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	739	554	1271993398612	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	719	568	1271993398619	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	699	576	1271993398627	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	430	546	1271993400877	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	439	506	1271993400884	0	0	8b6c81b78bebe0168da2ad8c01c0
user18	449	453	1271993400892	0	0	8b6c81b78bebe0168da2ad8c01c0
