User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user20	515	601	1272427153934	0	0	290f6991751b43b5ce6986c0bae1
user20	515	591	1272427153948	0	0	290f6991751b43b5ce6986c0bae1
user20	515	578	1272427153954	0	0	290f6991751b43b5ce6986c0bae1
user20	516	564	1272427153958	0	0	290f6991751b43b5ce6986c0bae1
user20	523	546	1272427153968	0	0	290f6991751b43b5ce6986c0bae1
user20	532	526	1272427153977	0	0	290f6991751b43b5ce6986c0bae1
user20	570	479	1272427154003	0	0	290f6991751b43b5ce6986c0bae1
user20	588	465	1272427154014	0	0	290f6991751b43b5ce6986c0bae1
user20	610	449	1272427154021	0	0	290f6991751b43b5ce6986c0bae1
user20	636	436	1272427154025	0	0	290f6991751b43b5ce6986c0bae1
user20	667	422	1272427154030	0	0	290f6991751b43b5ce6986c0bae1
user20	701	415	1272427154044	0	0	290f6991751b43b5ce6986c0bae1
user20	737	405	1272427154048	0	0	290f6991751b43b5ce6986c0bae1
user20	759	403	1272427154054	0	0	290f6991751b43b5ce6986c0bae1
user20	790	393	1272427154065	0	0	290f6991751b43b5ce6986c0bae1
user20	814	387	1272427154069	0	0	290f6991751b43b5ce6986c0bae1
user20	838	381	1272427154087	0	0	290f6991751b43b5ce6986c0bae1
user20	858	372	1272427154093	0	0	290f6991751b43b5ce6986c0bae1
user20	875	361	1272427154103	0	0	290f6991751b43b5ce6986c0bae1
user20	885	361	1272427154108	0	0	290f6991751b43b5ce6986c0bae1
user20	893	360	1272427154114	0	0	290f6991751b43b5ce6986c0bae1
user20	896	360	1272427154118	0	0	290f6991751b43b5ce6986c0bae1
user20	897	360	1272427154130	0	0	290f6991751b43b5ce6986c0bae1
user20	897	361	1272427154262	0	0	290f6991751b43b5ce6986c0bae1
user20	898	361	1272427154272	0	0	290f6991751b43b5ce6986c0bae1
user20	898	362	1272427154283	0	0	290f6991751b43b5ce6986c0bae1
user20	898	364	1272427154287	0	0	290f6991751b43b5ce6986c0bae1
user20	898	365	1272427154295	0	0	290f6991751b43b5ce6986c0bae1
user20	899	365	1272427154326	0	0	290f6991751b43b5ce6986c0bae1
user20	902	364	1272427154342	0	0	290f6991751b43b5ce6986c0bae1
user20	910	363	1272427154353	0	0	290f6991751b43b5ce6986c0bae1
user20	919	359	1272427154363	0	0	290f6991751b43b5ce6986c0bae1
user20	927	354	1272427154368	0	0	290f6991751b43b5ce6986c0bae1
user20	935	353	1272427154379	0	0	290f6991751b43b5ce6986c0bae1
user20	950	345	1272427154396	0	0	290f6991751b43b5ce6986c0bae1
user20	959	343	1272427154419	0	0	290f6991751b43b5ce6986c0bae1
user20	960	343	1272427154424	0	0	290f6991751b43b5ce6986c0bae1
user20	961	342	1272427154511	0	0	290f6991751b43b5ce6986c0bae1
user20	961	343	1272427154694	0	0	290f6991751b43b5ce6986c0bae1
user20	961	344	1272427154726	0	0	290f6991751b43b5ce6986c0bae1
user20	961	345	1272427154742	0	0	290f6991751b43b5ce6986c0bae1
user20	960	345	1272427154752	0	0	290f6991751b43b5ce6986c0bae1
user20	960	348	1272427154763	0	0	290f6991751b43b5ce6986c0bae1
user20	960	349	1272427154768	0	0	290f6991751b43b5ce6986c0bae1
user20	960	350	1272427154782	0	0	290f6991751b43b5ce6986c0bae1
user20	960	351	1272427154798	0	0	290f6991751b43b5ce6986c0bae1
user20	960	352	1272427154808	0	0	290f6991751b43b5ce6986c0bae1
user20	960	355	1272427154823	0	0	290f6991751b43b5ce6986c0bae1
user20	959	355	1272427154838	0	0	290f6991751b43b5ce6986c0bae1
user20	959	358	1272427154849	0	0	290f6991751b43b5ce6986c0bae1
user20	959	359	1272427154859	0	0	290f6991751b43b5ce6986c0bae1
user20	959	359	1272427155199	1272427155078	1272427155199	290f6991751b43b5ce6986c0bae1
user20	958	359	1272427155238	0	0	290f6991751b43b5ce6986c0bae1
user20	957	360	1272427155254	0	0	290f6991751b43b5ce6986c0bae1
user20	956	360	1272427155270	0	0	290f6991751b43b5ce6986c0bae1
user20	956	361	1272427155283	0	0	290f6991751b43b5ce6986c0bae1
user20	955	361	1272427155287	0	0	290f6991751b43b5ce6986c0bae1
user20	954	361	1272427155302	0	0	290f6991751b43b5ce6986c0bae1
user20	953	361	1272427155315	0	0	290f6991751b43b5ce6986c0bae1
user20	953	361	1272427156199	0	0	290f6991751b43b5ce6986c0bae1
user20	952	361	1272427159038	0	0	290f6991751b43b5ce6986c0bae1
user20	952	366	1272427159048	0	0	290f6991751b43b5ce6986c0bae1
user20	951	374	1272427159064	0	0	290f6991751b43b5ce6986c0bae1
user20	951	379	1272427159076	0	0	290f6991751b43b5ce6986c0bae1
user20	951	385	1272427159084	0	0	290f6991751b43b5ce6986c0bae1
user20	951	390	1272427159090	0	0	290f6991751b43b5ce6986c0bae1
user20	951	396	1272427159095	0	0	290f6991751b43b5ce6986c0bae1
user20	951	401	1272427159109	0	0	290f6991751b43b5ce6986c0bae1
user20	951	404	1272427159115	0	0	290f6991751b43b5ce6986c0bae1
user20	952	408	1272427159133	0	0	290f6991751b43b5ce6986c0bae1
user20	952	409	1272427159146	0	0	290f6991751b43b5ce6986c0bae1
user20	952	410	1272427159151	0	0	290f6991751b43b5ce6986c0bae1
user20	952	411	1272427159166	0	0	290f6991751b43b5ce6986c0bae1
user20	952	412	1272427159181	0	0	290f6991751b43b5ce6986c0bae1
user20	953	412	1272427159193	0	0	290f6991751b43b5ce6986c0bae1
user20	953	413	1272427159223	0	0	290f6991751b43b5ce6986c0bae1
user20	953	414	1272427159235	0	0	290f6991751b43b5ce6986c0bae1
user20	953	415	1272427159247	0	0	290f6991751b43b5ce6986c0bae1
user20	954	417	1272427159258	0	0	290f6991751b43b5ce6986c0bae1
user20	955	420	1272427159266	0	0	290f6991751b43b5ce6986c0bae1
user20	956	429	1272427159279	0	0	290f6991751b43b5ce6986c0bae1
user20	956	432	1272427159293	0	0	290f6991751b43b5ce6986c0bae1
user20	956	437	1272427159299	0	0	290f6991751b43b5ce6986c0bae1
user20	956	443	1272427159304	0	0	290f6991751b43b5ce6986c0bae1
user20	956	446	1272427159316	0	0	290f6991751b43b5ce6986c0bae1
user20	956	449	1272427159321	0	0	290f6991751b43b5ce6986c0bae1
user20	956	459	1272427159336	0	0	290f6991751b43b5ce6986c0bae1
user20	956	460	1272427159342	0	0	290f6991751b43b5ce6986c0bae1
user20	956	462	1272427159354	0	0	290f6991751b43b5ce6986c0bae1
user20	956	461	1272427159432	0	0	290f6991751b43b5ce6986c0bae1
user20	957	461	1272427159438	0	0	290f6991751b43b5ce6986c0bae1
user20	957	460	1272427159454	0	0	290f6991751b43b5ce6986c0bae1
user20	957	459	1272427159463	0	0	290f6991751b43b5ce6986c0bae1
user20	957	458	1272427159480	0	0	290f6991751b43b5ce6986c0bae1
user20	958	458	1272427159486	0	0	290f6991751b43b5ce6986c0bae1
user20	958	457	1272427159501	0	0	290f6991751b43b5ce6986c0bae1
user20	958	456	1272427159525	0	0	290f6991751b43b5ce6986c0bae1
user20	958	455	1272427159541	0	0	290f6991751b43b5ce6986c0bae1
user20	958	454	1272427159581	0	0	290f6991751b43b5ce6986c0bae1
user20	958	453	1272427159614	0	0	290f6991751b43b5ce6986c0bae1
user20	958	453	1272427159831	1272427159710	1272427159831	290f6991751b43b5ce6986c0bae1
