User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user21	946	81	1272384272652	0	0	002fbbee449ac02df8c9d7abb4ba
user21	945	81	1272384272683	0	0	002fbbee449ac02df8c9d7abb4ba
user21	944	81	1272384272715	0	0	002fbbee449ac02df8c9d7abb4ba
user21	943	81	1272384272754	0	0	002fbbee449ac02df8c9d7abb4ba
user21	942	81	1272384272762	0	0	002fbbee449ac02df8c9d7abb4ba
user21	942	82	1272384272793	0	0	002fbbee449ac02df8c9d7abb4ba
user21	941	82	1272384272808	0	0	002fbbee449ac02df8c9d7abb4ba
user21	941	83	1272384272828	0	0	002fbbee449ac02df8c9d7abb4ba
user21	940	83	1272384272840	0	0	002fbbee449ac02df8c9d7abb4ba
user21	939	84	1272384272855	0	0	002fbbee449ac02df8c9d7abb4ba
user21	938	84	1272384272866	0	0	002fbbee449ac02df8c9d7abb4ba
user21	937	84	1272384272884	0	0	002fbbee449ac02df8c9d7abb4ba
user21	936	85	1272384272894	0	0	002fbbee449ac02df8c9d7abb4ba
user21	935	85	1272384272918	0	0	002fbbee449ac02df8c9d7abb4ba
user21	934	85	1272384272949	0	0	002fbbee449ac02df8c9d7abb4ba
user21	933	85	1272384273027	0	0	002fbbee449ac02df8c9d7abb4ba
user21	932	85	1272384273067	0	0	002fbbee449ac02df8c9d7abb4ba
user21	931	85	1272384273105	0	0	002fbbee449ac02df8c9d7abb4ba
user21	930	85	1272384273135	0	0	002fbbee449ac02df8c9d7abb4ba
user21	930	86	1272384273152	0	0	002fbbee449ac02df8c9d7abb4ba
user21	929	86	1272384273162	0	0	002fbbee449ac02df8c9d7abb4ba
user21	928	87	1272384273182	0	0	002fbbee449ac02df8c9d7abb4ba
user21	927	87	1272384273199	0	0	002fbbee449ac02df8c9d7abb4ba
user21	925	89	1272384273199	0	0	002fbbee449ac02df8c9d7abb4ba
user21	924	91	1272384273215	0	0	002fbbee449ac02df8c9d7abb4ba
user21	921	94	1272384273224	0	0	002fbbee449ac02df8c9d7abb4ba
user21	918	99	1272384273234	0	0	002fbbee449ac02df8c9d7abb4ba
user21	915	105	1272384273246	0	0	002fbbee449ac02df8c9d7abb4ba
user21	913	111	1272384273262	0	0	002fbbee449ac02df8c9d7abb4ba
user21	910	118	1272384273262	0	0	002fbbee449ac02df8c9d7abb4ba
user21	908	126	1272384273274	0	0	002fbbee449ac02df8c9d7abb4ba
user21	905	134	1272384273277	0	0	002fbbee449ac02df8c9d7abb4ba
user21	900	144	1272384273293	0	0	002fbbee449ac02df8c9d7abb4ba
user21	898	155	1272384273308	0	0	002fbbee449ac02df8c9d7abb4ba
user21	895	167	1272384273308	0	0	002fbbee449ac02df8c9d7abb4ba
user21	893	179	1272384273324	0	0	002fbbee449ac02df8c9d7abb4ba
user21	890	194	1272384273340	0	0	002fbbee449ac02df8c9d7abb4ba
user21	888	210	1272384273340	0	0	002fbbee449ac02df8c9d7abb4ba
user21	885	230	1272384273351	0	0	002fbbee449ac02df8c9d7abb4ba
user21	884	247	1272384273371	0	0	002fbbee449ac02df8c9d7abb4ba
user21	881	265	1272384273372	0	0	002fbbee449ac02df8c9d7abb4ba
user21	879	281	1272384273381	0	0	002fbbee449ac02df8c9d7abb4ba
user21	877	292	1272384273388	0	0	002fbbee449ac02df8c9d7abb4ba
user21	874	302	1272384273402	0	0	002fbbee449ac02df8c9d7abb4ba
user21	871	311	1272384273412	0	0	002fbbee449ac02df8c9d7abb4ba
user21	869	318	1272384273418	0	0	002fbbee449ac02df8c9d7abb4ba
user21	869	323	1272384273433	0	0	002fbbee449ac02df8c9d7abb4ba
user21	868	328	1272384273449	0	0	002fbbee449ac02df8c9d7abb4ba
user21	868	331	1272384273449	0	0	002fbbee449ac02df8c9d7abb4ba
