User	KeyDownTimeStamp	KeyReleaseTimeStamp	SessionID
user10	1269042496604	1269042496676	8d342bfc8ba4b0816fb276a0d4da
user10	1269042496707	1269042496806	8d342bfc8ba4b0816fb276a0d4da
user10	1269042496767	1269042496847	8d342bfc8ba4b0816fb276a0d4da
user10	1269042496879	1269042497056	8d342bfc8ba4b0816fb276a0d4da
user10	1269042497025	1269042497137	8d342bfc8ba4b0816fb276a0d4da
user10	1269042497757	1269042498055	8d342bfc8ba4b0816fb276a0d4da
user10	1269042497961	1269042498139	8d342bfc8ba4b0816fb276a0d4da
user10	1269042498362	1269042498511	8d342bfc8ba4b0816fb276a0d4da
user10	1269042498468	1269042498593	8d342bfc8ba4b0816fb276a0d4da
user10	1269042498624	1269042498738	8d342bfc8ba4b0816fb276a0d4da
user10	1269042498762	1269042498889	8d342bfc8ba4b0816fb276a0d4da
user10	1269042499173	1269042499262	8d342bfc8ba4b0816fb276a0d4da
user10	1269042499249	1269042499424	8d342bfc8ba4b0816fb276a0d4da
user10	1269042499408	1269042499594	8d342bfc8ba4b0816fb276a0d4da
user10	1269042499682	1269042499812	8d342bfc8ba4b0816fb276a0d4da
user10	1269042500597	1269042500735	8d342bfc8ba4b0816fb276a0d4da
user10	1269042500860	1269042500950	8d342bfc8ba4b0816fb276a0d4da
user10	1269042501184	1269042501307	8d342bfc8ba4b0816fb276a0d4da
user10	1269042501540	1269042501656	8d342bfc8ba4b0816fb276a0d4da
