User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user12	319	443	1270874275859	0	0	6023239ae79fe007017df5226a51
user12	318	440	1270874283277	0	0	6023239ae79fe007017df5226a51
user12	301	403	1270874283296	0	0	6023239ae79fe007017df5226a51
user12	278	360	1270874283307	0	0	6023239ae79fe007017df5226a51
user12	259	313	1270874283314	0	0	6023239ae79fe007017df5226a51
user12	240	271	1270874283318	0	0	6023239ae79fe007017df5226a51
user12	228	226	1270874283330	0	0	6023239ae79fe007017df5226a51
user12	218	195	1270874283337	0	0	6023239ae79fe007017df5226a51
user12	217	167	1270874283343	0	0	6023239ae79fe007017df5226a51
user12	215	145	1270874283354	0	0	6023239ae79fe007017df5226a51
user12	215	102	1270874283360	0	0	6023239ae79fe007017df5226a51
user12	222	62	1270874283370	0	0	6023239ae79fe007017df5226a51
user12	234	6	1270874283377	0	0	6023239ae79fe007017df5226a51
user12	191	10	1270874283535	0	0	6023239ae79fe007017df5226a51
user12	191	53	1270874283546	0	0	6023239ae79fe007017df5226a51
user12	191	91	1270874283556	0	0	6023239ae79fe007017df5226a51
user12	191	129	1270874283559	0	0	6023239ae79fe007017df5226a51
user12	192	163	1270874283570	0	0	6023239ae79fe007017df5226a51
user12	192	179	1270874283574	0	0	6023239ae79fe007017df5226a51
user12	193	190	1270874283584	0	0	6023239ae79fe007017df5226a51
user12	194	195	1270874283594	0	0	6023239ae79fe007017df5226a51
user12	197	196	1270874283604	0	0	6023239ae79fe007017df5226a51
user12	200	197	1270874283609	0	0	6023239ae79fe007017df5226a51
user12	206	198	1270874283617	0	0	6023239ae79fe007017df5226a51
user12	214	198	1270874283622	0	0	6023239ae79fe007017df5226a51
user12	225	198	1270874283636	0	0	6023239ae79fe007017df5226a51
user12	235	196	1270874283641	0	0	6023239ae79fe007017df5226a51
user12	257	188	1270874283645	0	0	6023239ae79fe007017df5226a51
user12	283	175	1270874283658	0	0	6023239ae79fe007017df5226a51
user12	321	153	1270874283665	0	0	6023239ae79fe007017df5226a51
user12	358	130	1270874283673	0	0	6023239ae79fe007017df5226a51
user12	412	101	1270874283680	0	0	6023239ae79fe007017df5226a51
user12	445	71	1270874283691	0	0	6023239ae79fe007017df5226a51
user12	464	53	1270874283698	0	0	6023239ae79fe007017df5226a51
user12	486	34	1270874283705	0	0	6023239ae79fe007017df5226a51
user12	496	22	1270874283710	0	0	6023239ae79fe007017df5226a51
user12	502	16	1270874283722	0	0	6023239ae79fe007017df5226a51
user12	503	13	1270874283727	0	0	6023239ae79fe007017df5226a51
user12	502	13	1270874283757	0	0	6023239ae79fe007017df5226a51
user12	501	16	1270874283767	0	0	6023239ae79fe007017df5226a51
user12	496	19	1270874283781	0	0	6023239ae79fe007017df5226a51
user12	490	23	1270874283791	0	0	6023239ae79fe007017df5226a51
user12	486	29	1270874283801	0	0	6023239ae79fe007017df5226a51
user12	477	36	1270874283805	0	0	6023239ae79fe007017df5226a51
user12	469	43	1270874283816	0	0	6023239ae79fe007017df5226a51
user12	457	49	1270874283821	0	0	6023239ae79fe007017df5226a51
user12	446	58	1270874283833	0	0	6023239ae79fe007017df5226a51
