User	X	Y	MouseTimeStamp	MouseDownTimeStamp	MouseUpTimeStamp	SessionID
user17	291	181	1270680782797	0	0	a77a2b45c1330028eda7c7f89041
user17	290	181	1270680782805	0	0	a77a2b45c1330028eda7c7f89041
user17	290	180	1270680782813	0	0	a77a2b45c1330028eda7c7f89041
user17	289	180	1270680782821	0	0	a77a2b45c1330028eda7c7f89041
user17	289	179	1270680782837	0	0	a77a2b45c1330028eda7c7f89041
user17	288	179	1270680782949	0	0	a77a2b45c1330028eda7c7f89041
user17	287	179	1270680782957	0	0	a77a2b45c1330028eda7c7f89041
user17	285	179	1270680782965	0	0	a77a2b45c1330028eda7c7f89041
user17	282	179	1270680782973	0	0	a77a2b45c1330028eda7c7f89041
user17	279	179	1270680782981	0	0	a77a2b45c1330028eda7c7f89041
user17	275	180	1270680782989	0	0	a77a2b45c1330028eda7c7f89041
user17	271	180	1270680782997	0	0	a77a2b45c1330028eda7c7f89041
user17	267	180	1270680783005	0	0	a77a2b45c1330028eda7c7f89041
user17	264	181	1270680783013	0	0	a77a2b45c1330028eda7c7f89041
user17	261	182	1270680783021	0	0	a77a2b45c1330028eda7c7f89041
user17	259	183	1270680783029	0	0	a77a2b45c1330028eda7c7f89041
user17	258	183	1270680783037	0	0	a77a2b45c1330028eda7c7f89041
user17	257	183	1270680783045	0	0	a77a2b45c1330028eda7c7f89041
user17	256	183	1270680783053	0	0	a77a2b45c1330028eda7c7f89041
user17	255	183	1270680783077	0	0	a77a2b45c1330028eda7c7f89041
user17	254	183	1270680783093	0	0	a77a2b45c1330028eda7c7f89041
user17	253	183	1270680783101	0	0	a77a2b45c1330028eda7c7f89041
user17	252	183	1270680783109	0	0	a77a2b45c1330028eda7c7f89041
user17	251	183	1270680783117	0	0	a77a2b45c1330028eda7c7f89041
user17	250	183	1270680783125	0	0	a77a2b45c1330028eda7c7f89041
user17	249	183	1270680783141	0	0	a77a2b45c1330028eda7c7f89041
user17	248	182	1270680783205	0	0	a77a2b45c1330028eda7c7f89041
user17	248	181	1270680783245	0	0	a77a2b45c1330028eda7c7f89041
user17	247	181	1270680783261	0	0	a77a2b45c1330028eda7c7f89041
user17	247	180	1270680783269	0	0	a77a2b45c1330028eda7c7f89041
user17	246	180	1270680783277	0	0	a77a2b45c1330028eda7c7f89041
user17	246	179	1270680783285	0	0	a77a2b45c1330028eda7c7f89041
user17	245	178	1270680783301	0	0	a77a2b45c1330028eda7c7f89041
user17	244	178	1270680783317	0	0	a77a2b45c1330028eda7c7f89041
user17	243	178	1270680783421	0	0	a77a2b45c1330028eda7c7f89041
user17	242	178	1270680783461	0	0	a77a2b45c1330028eda7c7f89041
user17	241	178	1270680783741	0	0	a77a2b45c1330028eda7c7f89041
user17	241	178	1270680783743	1270680783613	1270680783743	a77a2b45c1330028eda7c7f89041
user17	240	177	1270680783749	0	0	a77a2b45c1330028eda7c7f89041
user17	241	177	1270680786101	0	0	a77a2b45c1330028eda7c7f89041
user17	243	177	1270680786117	0	0	a77a2b45c1330028eda7c7f89041
user17	249	177	1270680786125	0	0	a77a2b45c1330028eda7c7f89041
user17	258	181	1270680786133	0	0	a77a2b45c1330028eda7c7f89041
user17	269	184	1270680786141	0	0	a77a2b45c1330028eda7c7f89041
user17	285	189	1270680786149	0	0	a77a2b45c1330028eda7c7f89041
user17	304	194	1270680786157	0	0	a77a2b45c1330028eda7c7f89041
user17	325	198	1270680786165	0	0	a77a2b45c1330028eda7c7f89041
user17	352	203	1270680786173	0	0	a77a2b45c1330028eda7c7f89041
user17	375	208	1270680786181	0	0	a77a2b45c1330028eda7c7f89041
user17	397	213	1270680786189	0	0	a77a2b45c1330028eda7c7f89041
user17	413	217	1270680786197	0	0	a77a2b45c1330028eda7c7f89041
user17	429	221	1270680786205	0	0	a77a2b45c1330028eda7c7f89041
user17	441	224	1270680786213	0	0	a77a2b45c1330028eda7c7f89041
user17	451	227	1270680786221	0	0	a77a2b45c1330028eda7c7f89041
user17	459	229	1270680786229	0	0	a77a2b45c1330028eda7c7f89041
user17	462	231	1270680786237	0	0	a77a2b45c1330028eda7c7f89041
user17	466	233	1270680786245	0	0	a77a2b45c1330028eda7c7f89041
user17	468	233	1270680786253	0	0	a77a2b45c1330028eda7c7f89041
user17	469	233	1270680786261	0	0	a77a2b45c1330028eda7c7f89041
user17	469	234	1270680786429	0	0	a77a2b45c1330028eda7c7f89041
user17	470	234	1270680786445	0	0	a77a2b45c1330028eda7c7f89041
user17	472	236	1270680786453	0	0	a77a2b45c1330028eda7c7f89041
user17	478	239	1270680786461	0	0	a77a2b45c1330028eda7c7f89041
user17	483	241	1270680786469	0	0	a77a2b45c1330028eda7c7f89041
user17	489	244	1270680786477	0	0	a77a2b45c1330028eda7c7f89041
user17	491	248	1270680786485	0	0	a77a2b45c1330028eda7c7f89041
user17	493	250	1270680786493	0	0	a77a2b45c1330028eda7c7f89041
user17	494	251	1270680786501	0	0	a77a2b45c1330028eda7c7f89041
user17	494	252	1270680786509	0	0	a77a2b45c1330028eda7c7f89041
user17	494	253	1270680786517	0	0	a77a2b45c1330028eda7c7f89041
user17	494	254	1270680786525	0	0	a77a2b45c1330028eda7c7f89041
user17	494	255	1270680786533	0	0	a77a2b45c1330028eda7c7f89041
user17	592	181	1270680631993	0	0	a77a2b45c1330028eda7c7f89041
user17	591	180	1270680632735	0	0	a77a2b45c1330028eda7c7f89041
user17	591	179	1270680632751	0	0	a77a2b45c1330028eda7c7f89041
user17	591	178	1270680632759	0	0	a77a2b45c1330028eda7c7f89041
user17	591	177	1270680632783	0	0	a77a2b45c1330028eda7c7f89041
user17	591	176	1270680632791	0	0	a77a2b45c1330028eda7c7f89041
user17	592	176	1270680634031	0	0	a77a2b45c1330028eda7c7f89041
user17	597	178	1270680634039	0	0	a77a2b45c1330028eda7c7f89041
user17	602	181	1270680634047	0	0	a77a2b45c1330028eda7c7f89041
user17	609	183	1270680634055	0	0	a77a2b45c1330028eda7c7f89041
user17	615	185	1270680634063	0	0	a77a2b45c1330028eda7c7f89041
user17	625	187	1270680634071	0	0	a77a2b45c1330028eda7c7f89041
user17	634	190	1270680634079	0	0	a77a2b45c1330028eda7c7f89041
user17	645	192	1270680634087	0	0	a77a2b45c1330028eda7c7f89041
user17	658	196	1270680634095	0	0	a77a2b45c1330028eda7c7f89041
user17	668	198	1270680634103	0	0	a77a2b45c1330028eda7c7f89041
user17	682	202	1270680634111	0	0	a77a2b45c1330028eda7c7f89041
user17	696	205	1270680634119	0	0	a77a2b45c1330028eda7c7f89041
user17	709	208	1270680634127	0	0	a77a2b45c1330028eda7c7f89041
user17	728	209	1270680634135	0	0	a77a2b45c1330028eda7c7f89041
user17	751	212	1270680634143	0	0	a77a2b45c1330028eda7c7f89041
user17	774	215	1270680634151	0	0	a77a2b45c1330028eda7c7f89041
user17	797	218	1270680634159	0	0	a77a2b45c1330028eda7c7f89041
user17	831	223	1270680634167	0	0	a77a2b45c1330028eda7c7f89041
user17	859	226	1270680634175	0	0	a77a2b45c1330028eda7c7f89041
user17	885	229	1270680634184	0	0	a77a2b45c1330028eda7c7f89041
user17	916	232	1270680634191	0	0	a77a2b45c1330028eda7c7f89041
user17	941	234	1270680634199	0	0	a77a2b45c1330028eda7c7f89041
user17	970	237	1270680634208	0	0	a77a2b45c1330028eda7c7f89041
user17	984	237	1270680634215	0	0	a77a2b45c1330028eda7c7f89041
user17	988	237	1270680634223	0	0	a77a2b45c1330028eda7c7f89041
user17	989	237	1270680634231	0	0	a77a2b45c1330028eda7c7f89041
user17	988	237	1270680634271	0	0	a77a2b45c1330028eda7c7f89041
user17	987	237	1270680634279	0	0	a77a2b45c1330028eda7c7f89041
user17	985	237	1270680634287	0	0	a77a2b45c1330028eda7c7f89041
user17	982	237	1270680634295	0	0	a77a2b45c1330028eda7c7f89041
